name,price
Whole Wheat Pita Bread,1.54
Frozen Edamame,229.43
Natural Fruit Snacks,155.31
Hibiscus Tea Bags,29.35
Throw Pillow Covers,158.08
Wireless Earbuds,291.21
Craft Beer Mustard,175.46
Honey Almond Granola Bars,25.95
Athletic Sports Bra,83.55
Fresh Basil Pesto,137.96
Pet Travel Backpack Carrier,137.9
Herbed Couscous,103.67
Frozen Spinach,201.09
Dog Car Seat Cover,16.94
Casual Sneakers,14.31
Organic Baby Spinach,5.11
Karaoke Microphone,180.11
Feta Cheese Crumbles,91.56
Herbed Chicken Breast,43.22
Savory Snack Mix,97.6
Spinach and Cheese Quiche,107.38
Whisk Set,103.52
Pet Nail Clipper,129.77
Chocolate Coconut Granola,161.89
Whipped Cream Cheese,153.63
Leather Wallet,37.68
Chicken Breasts,100.94
Smart Scale,265.2
Herbed Couscous,48.73
Portable Phone Mug Holder,222.48
Spicy Kimchi,154.93
Cauliflower Gnocchi,297.38
Memory Foam Mattress Topper,16.37
Personal Security Alarm Keychain,63.08
Creamy Spinach Dip,206.79
Oversized Denim Shirt,292.82
Karaoke Microphone,193.96
Italian Breadsticks,194.92
Creamy Avocado Dip,96.12
DIY Lip Balm Kit,270.81
Rice Cakes,8.21
Organic Coconut Flour,52.7
Smart Fitness Scale,58.39
Multi-Function Meat Tenderizer,70.19
Motorcycle Phone Mount,153.84
Cotton Sweatpants,165.77
Outdoor Camping Lantern,69.13
Maple Glazed Carrots,15.92
Compost Bin,21.1
Chocolate Peanut Butter Cups,207.79
Self-Massaging Pillow,125.06
Insulated Cooler,84.8
Pet Nail Clipper,15.13
Fall-Themed Table Runner,285.84
Electric Stool Heater,167.78
Adjustable Laptop Stand,39.51
Handcrafted Wooden Coasters,159.08
DIY Lip Balm Making Kit,5.05
Cinnamon Raisin Bagels,56.04
Italian Herbal Seasoning,223.29
Pecan Nuts,1.58
Caribbean Jerk Marinade,110.92
Men's Waterproof Hiking Boots,64.88
Fashionable Fanny Pack,124.53
Sporty Leggings,267.45
Beef Taco Skillet,294.06
Mini Meatballs,117.91
Whole Wheat Bread,49.14
Toy Building Set,127.67
Vegetarian Pizza,277.98
Quinoa and Kale Salad Kit,165.76
Sports Water Bottle with Infuser,91.1
Vegetable Pizza Rolls,172.68
Electrolyte Water Bottle,202.91
Chocolate Fudge Ice Cream,288.55
Puzzle 3D Model Kit,265.26
Pet Bed with Removable Cover,62.89
Heart-Shaped Baking Molds,287.54
Instant Camera,250.86
Honey,269.12
Portable Massage Gun,283.53
Basmati Rice,99.13
Italian Breadsticks,21.11
Honey Garlic Shrimp,123.94
Car Sunshade,193.5
Smart Wi-Fi Camera,39.54
Vegetable Pizza Rolls,40.65
Sushi Rice,279.64
Aged White Cheddar Popcorn,63.09
Lemon Pepper Seasoning,112.11
Trendy Bomber Jacket,223.64
Canvas Tote Bag,171.12
Canned Sardines,140.9
Pet Grooming Kit,266.02
Natural Soy Candles,126.53
High-Speed Blender,27.97
Chiffon Blouse,128.38
Faux Leather Leggings,78.51
Creamy Ranch Dressing,99.91
Organic Quinoa Chips,289.03
Body Wash,245.41
Pet Reflective Vest,191.26
Lightweight Travel Backpack,5.47
Organic Almond Flour,218.92
Granulated Sugar,207.02
Organic Lentil Soup,123.23
Caribbean Jerk Marinade,67.15
Belted Trench Coat,143.35
Biodegradable Dog Waste Bags,127.07
Mini Meatballs,286.71
Training Soccer Ball,41.98
Honey Mustard Sauce,189.18
Reusable Silicone Food Storage Bags,102.79
Organic Tomato Soup,240.42
Chopping Board,9.48
Pumpkin Puree,95.7
Wall Planner,111.3
Spinach and Feta Stuffed Chicken Breast,246.36
Bird Feeder,96.82
Gluten-Free Biscuits,273.1
Stuffed Grape Leaves,135.94
Oven-Baked Cheese Crisps,206.47
Shredded Cheese,238.98
Dark Chocolate Raisins,163.09
Chili Con Carne Mix,141.97
Cat Scratching Post with Toys,291.56
Travel Size Toiletry Bottles,116.83
Buffalo Chicken Dip,269.25
Black Bean & Corn Salad,280.14
Drone,51.09
Wild Rice & Quinoa Mix,123.96
Skincare Set,71.9
Collapsible Storage Crates,199.0
Dried Cranberries,48.01
Fitness Resistance Bands Kit,50.14
Screen Cleaning Kit,129.55
Electric Griddle with Removable Plates,237.2
Roasted Garlic Pasta Sauce,167.75
Cilantro Lime Rice,76.02
Cotton Pajama Set,179.95
Cranberry Almond Biscotti,95.84
Sourdough Bread,261.35
Smart Scale,34.6
Herb Drying Rack,75.94
Skincare Set,52.36
Pet Carrier Backpack,41.99
Flavored Instant Oatmeal,196.35
Maple Pecan Granola,61.85
Electric Razor,244.71
Dog Waste Bag Dispenser,16.91
Puffer Winter Coat,276.16
LED Under Cabinet Lighting,127.99
Rice Pilaf Mix,282.94
Fresh Basil,23.94
Sriracha Hot Chili Sauce,102.82
Luxe Velvet Blazer,118.66
Portable Massage Gun,169.4
Slim Wallet,96.44
Organic Chia Seeds,289.75
Raspberry Lemonade Mix,244.97
Chocolate Almond Milk,188.62
Compact Umbrella,219.68
Multi-Function Smartphone Holder,224.41
Smartphone Camera Lens Kit,104.78
Cable Knit Beanie,231.75
Trackpad for Laptop,183.88
Quinoa & Black Bean Salad,46.48
Electric Toothbrush,282.07
Lemon Basil Pasta Sauce,186.51
Home Karaoke System,254.11
Children's Educational Puzzle,5.56
Vegetable Spring Rolls,55.31
Miso Soup Starter,202.7
Mini Hand Gesture Drone,32.14
Honey Wheat Pretzels,143.27
Over-Ear Headphones,277.71
Infrared Thermometer,86.29
Coconut Milk Yogurt,298.9
Travel Pillow,29.3
Overnight Hiking Backpack,198.71
Classic Cheeseburger Mix,101.78
Silicone Wine Glasses,67.51
Gluten-Free Pancake Mix,68.53
Wi-Fi Enabled Smart Light Switch,262.56
Travel Shoe Bags Set,228.62
Spaghetti and Meatball Dinner Kit,50.39
Apple Juice,15.03
Rustic Wooden Picture Frame,296.09
Lemon Garlic Shrimp,260.02
Black Bean Spaghetti,264.24
Vacuum Sealer Machine,174.92
Personalized Cutting Board,189.89
Mini Air Hockey Table,286.03
Honey Butter Popcorn,34.21
Rice Pudding,177.94
Stainless Steel Travel Mug,182.31
Essential Oil Roller Bottles,112.89
Beef Tacos,132.65
Honey Garlic Chicken,30.16
Handmade Soap Making Kit,218.88
Almond Flour Biscuits,150.63
Herbed Couscous,145.46
Blueberry Oatmeal Cups,249.99
Deep Tissue Massage Gun,16.21
Pineapple Salsa,165.88
Pet Hair Removal Roller,285.61
Tactical Backpack,247.88
Warm Knit Beanie,135.12
Wireless Range Extender,104.5
Vegetable Stir-Fry Sauce,282.96
Wrap Front Midi Skirt,214.48
Bamboo Cutting Board Set,14.16
Compact Hair Dryer,226.67
Art Supplies Organizer,40.83
Multi-Purpose Marine Rope,184.66
Wireless Car Charger,175.28
Scent Diffuser,254.02
Organic Tomato Ketchup,33.02
Premium Flashlight,128.59
Pasta Portion Control Measure,1.9
Smart Wi-Fi Light Bulbs,64.56
Classic Vanilla Fudge,32.64
Almond Flour Brownies,199.8
Stylish Combat Boots,252.44
Roasted Chickpeas,149.11
Craft Beer Mustard,102.97
Coconut Curry Lentils,21.25
Portable Leaf Blower,134.12
Zesty Garlic Marinade,47.14
Wireless Earbuds,246.13
Caraway Rye Bread,293.72
Cheesy Broccoli Soup Mix,168.69
Ripped Boyfriend Jeans,49.59
Personal Blender with Travel Lid,125.06
Pesto Genovese,21.22
Roasted Garlic Pasta Sauce,6.56
Peanut Butter Pretzel Bites,44.34
Oven-Baked Parmesan Zucchini,157.72
Wooden Children's Play Kitchen,76.11
Gardening Gloves with Claws,250.89
Herb Seasoned Couscous,54.83
Portable Air Pump,93.41
Spiralizer,90.61
Eco-Friendly Yoga Mat,197.55
Rechargeable Electric Toothbrush,282.83
Chocolate Coconut Granola,220.72
Spinach and Cheese Stuffed Shells,234.14
Garlic Butter Sauce,262.48
Pumpkin Spice Pancake Mix,11.74
Organic Vanilla Bean Ice Cream,20.29
Magnetic Curtain Tiebacks,244.15
Eco-Friendly Notepad,229.59
Chicken Sausage,66.72
Mango Chia Pudding,98.09
Travel Beach Blanket,227.17
Cranberry Almond Cookies,134.04
Sea Salt Tortilla Chips,124.82
Avocado Oil Mayo,170.35
Coconut Granola,144.86
Pumpkin Spice Creamer,98.87
Sliced Strawberries,257.66
Automatic Pet Feeder,100.51
Collapsible Folding Chair,182.6
Scented Candle Set,158.96
Himalayan Salt Grinder,65.28
Eco-Friendly Beeswax Wraps,154.85
Spaghetti Squash,119.62
Portable Bluetooth Headphones,50.56
Honey Roasted Chickpeas,152.32
LED Flashlight,40.05
Almond Quinoa Salad,261.62
Trainers with Mesh Inserts,299.19
Pasta Salad Kit,209.9
Bamboo Memory Foam Pillow,28.28
Cookbook,293.96
Car Trash Can,57.94
Organic Green Apples,129.92
Vegan Caesar Dressing,172.04
Roasted Garlic Butter,159.2
Honey-Balsamic Vinaigrette,29.52
Smart Doorbell,142.44
Spicy Roasted Nuts,280.33
Decorative Throw Blanket,291.48
Wi-Fi Enabled Smart Light Switch,281.66
Garden Hoses with Expandable Features,225.15
Roasted Garlic Pasta Sauce,144.12
Magnetic Puzzle Board,25.73
Car Sunshade,142.42
Ultra-Thin Laptop Sleeve,175.73
Tabletop Fire Pit,181.95
Electric Kettle with Temperature Control,26.98
French Bread,263.5
Cauliflower Crust Pizza,41.35
Miso Soup Mix,244.35
Travel Orthopedic Pillow,119.43
Pecan Nuts,224.92
Bluetooth Headphones,165.93
Roasted Chickpeas,222.97
Kids' Science Experiment Kit,31.15
Instant Mashed Potatoes,62.08
Pesto Genovese,105.48
Pet Water Fountain with Filtration,101.93
Gaming Headset,270.42
Kids' Gardening Kit,157.99
Almond Flour,259.54
Coconut Macaroons,221.82
Chocolate Mint Thins,132.47
Maple Cinnamon Granola Bars,102.57
Teriyaki Beef Strips,27.66
Infrared Thermometer Gun,185.58
Portable Solar Generator,36.57
Adjustable Skipping Rope,71.33
Peanut Butter,129.45
Smoked Paprika Chicken Thighs,184.01
Coconut Granola,153.42
Travel Beach Blanket,178.62
Spicy Chicken Wings,139.57
Kids Tablet,107.14
Buffalo Style Cauliflower Bites,114.53
Peas (frozen),6.92
Cucumber Relish,243.04
Rice Noodles,15.02
Spaghetti Squash,118.43
Sports Water Bottle with Infuser,271.74
Portable Pet Pooper Scooper,121.28
Herbal Tea Variety Pack,199.86
Wall Planner,102.89
Pet Hair Remover,241.46
Solar Charger,21.42
Floral Summer Dress,199.4
LED Flashlight,63.87
Handheld Vacuum,10.31
Portable Bluetooth Speaker,146.56
Pumpkin Pie Spice,24.04
Interactive Plush Toy,4.63
Adjustable Bar Stools,83.29
Dog Collar,62.39
Plant-Based Meal Prep Containers,97.23
Scented Candle Set,56.31
LED Desk Light,50.21
Mango Chia Pudding,219.74
Pet Reflective Vest,63.41
Ergonomic Mouse Pad with Wrist Support,196.9
Almond Crunch Granola Bars,80.05
Tabletop Fire Pit,208.29
Cold Brew Coffee Concentrate,69.93
Action Camera,127.48
Pressure Washer Accessories Kit,267.38
Ribbed Knit Dress,185.13
Blackberry Jam,59.43
Baking Soda,17.95
Garlic Herb Marinade,49.21
Leek and Potato Soup,19.3
Coconut Bowls Set,245.65
Blueberry Chia Jam,35.84
Mini Electric Kettle,137.0
Comfortable Jogger Pants,28.0
Andouille Sausage,163.94
Compressible Packing Cubes,296.91
Basketball,185.6
Noise-Canceling Earbuds,236.03
Vintage Graphic Tee,266.67
Ground Cinnamon,159.91
Multi-Functional Rice Cooker,271.4
Organic Coconut Water,268.22
Elegant Maxi Skirt,179.02
Herbed Chicken Breast,52.78
Non-Stick Grill Mat,147.59
Vegan Tacos,182.49
Spicy Beef Taco Mix,119.62
Salsa,173.13
Teriyaki Chicken Wings,126.71
Infrared Thermometer Gun,2.1
Incense Holder,3.93
Peach Salsa,160.76
Luxury Bath Salts,209.33
LED Strip Lights with Remote Control,179.95
Almond Flour Biscuits,245.3
Classic Black Trousers,206.1
Rice Pilaf Mix,34.38
Apple Cinnamon Granola,132.77
Mayonnaise,87.77
Peach Yogurt,140.02
Non-Stick Grill Pan,188.77
Ethical Wool Scarf,97.66
Yoga Mat Carrier,51.82
Solar Garden Lights,281.88
Maple Pecan Pancake Mix,299.66
Electric Can Opener,121.41
Pet Grooming Brush,63.85
Beef Tacos,15.7
Insulated Sport Tumbler,234.07
Crispy Rice Treats,180.16
Frozen Pizza,27.45
Maple Pecan Pancake Mix,227.91
Sweet Potato Fries,88.73
Wireless Earbuds Case,223.74
Leather Wallet,290.87
Biodegradable Phone Case,245.19
Tomatillo Salsa,269.71
Ready-to-Eat Chili,205.71
Classic Pumps,20.45
Matcha Green Tea Powder,93.27
Ice Cream Scoop,36.24
Mini Cordless Vacuum Cleaner,52.93
Leek and Potato Soup,76.22
Thai Peanut Dressing,297.11
Smartphone Tripod with Remote,78.34
Sushi Rice,191.52
Lasagna Noodles,278.43
LED Desk Lamp with USB Charging,256.81
Sturdy Bookends,13.82
Faux Fur Throw Blanket,219.36
Electric Heat Pad,135.22
Lemon Basil Pasta Sauce,87.64
Gardening Fairy Figurines,227.11
Red Lentil Pasta,284.05
Teriyaki Tofu Stir-Fry,30.06
Bike Repair Tool Kit,203.64
Quinoa and Kale Salad Kit,99.8
Collapsible Storage Crates,99.03
Organic Whole Grain Oats,85.69
Ginger Snaps,76.21
Marinated Artichokes,290.63
Printed Maxi Skirt,267.88
Maple Bacon Jerky,293.45
Pleated Midi Dress,38.37
Garlic Herb Seasoning,52.6
Two-Tone Windbreaker,272.0
Adjustable Dumbbells,70.77
Almond Joy Munch Bars,267.31
Kids' Art Easel,223.16
Natural Fruit Snacks,89.3
Dried Cranberries,79.23
Coconut Chia Pudding,162.25
Sports Water Bottle with Infuser,12.15
Compressible Packing Cubes,201.08
Legging Pants,119.57
Adjustable Pet Feeder,294.9
Electric Stool Heater,16.26
Crispy Potato Tots,278.24
Tomatillo Salsa,208.18
Adjustable Resistance Bands,26.92
Organic Black Beans,129.33
Ready-to-Eat Chili,178.78
Smartphone Gimbal Stabilizer,150.3
Cinnamon Roll Kit,216.82
Coconut Curry Lentil Soup,163.99
Vegetable Broth,63.97
Asian Salad Mix,150.63
Athletic Compression Tights,145.99
Peach Fruit Cups,265.63
Spicy Italian Sausage,160.69
Indoor Plants,33.96
Savory Italian Herbs,125.49
Dark Chocolate Bars,274.15
Electric Wax Warmer,182.73
Foldable Picnic Table,166.76
Shredded Cheese,104.67
USB-C Hub,232.03
Key Finder,129.52
Frozen Hash Browns,5.49
Scented Candles,261.26
Over-Ear Headphones,46.55
Multi-Purpose Scissors,284.09
Puffer Winter Coat,199.41
Essential Oil Roller Bottles,249.48
Olive Oil,139.1
LED Under Cabinet Lighting,109.94
Cushion Covers,15.47
Adjustable Laptop Desk,282.64
Basil Lemonade,113.26
Electric Opener for Jars and Bottles,178.64
Men's Waterproof Hiking Boots,51.15
Mini Projector,265.41
Cinnamon Sugar Donuts,215.44
Craft Beer Mustard,143.91
French Bread,185.68
Utility Cargo Pants,62.57
Luminous Night Light,218.96
Artisan Bread Loaf,176.34
Luxury Yoga Mat,196.82
Gardening Fairy Figurines,105.12
Smoked Salmon,117.69
Personalized Keychain,197.03
Peanut Butter Chocolate Chip Bars,297.32
Cable Knit Cardigan,281.83
Eco-Friendly Disposable Plates,167.03
High-Speed Blender,299.22
Induction Cooktop,142.94
DIY Candle Kit,72.85
Cranberry Lime Sparkling Water,47.27
Winter Insulated Jacket,280.64
Pasta Maker,116.95
Coffee Grinder,86.61
Smartphone UV Sanitizer,249.89
Sea Salt Tortilla Chips,132.05
Electric Stool Heater,9.89
Baby Monitor,48.65
Self-Watering Planters,103.13
Orange Ginger Vinaigrette,227.43
Wi-Fi Enabled Smart Light Switch,259.97
USB Wall Charger,285.03
Insulated Sport Tumbler,111.09
Kids' Activity Book,244.47
Cinnamon Roll Dough,229.52
Bluetooth Sleep Headphones,295.94
Coconut Chia Pudding,189.04
Kids' Learning Tablet,54.58
Pumpkin Spice Latte Mix,77.3
Kids' Crafting Station,144.13
Digital Food Scale,97.21
Pumpkin Puree,259.18
Bluetooth Car Adapter,59.89
Savory Oats,233.16
Hot Dog Buns,122.53
Miso Soup Starter,18.15
Sesame Garlic Stir-Fry Sauce,181.72
Pumpkin Spice Latte Mix,171.28
